GRUPPE1	GRUPPE2	GRUPPE3	HERSTELLER	ARTIKEL_NR	HSTNUMMER	ARTIKEL1	ARTIKEL2	FVERSION	FSYSTEM	FSPRACHE	FFORMAT	FBUS	FGARANTIE	EVP	EK	AKTIONPR	AKTBIS	AKTION	VerfuegbarKZ	Vmenge	VDatum	VEta	Nachfolger	DATENBLATT1	BILD1	ERFDAT	EANCode	UPCCode	Hoehe	Breite	Laenge	Gewicht	Rang	Stck_Kart	Stck_Pal	Storno	ECLass	UNSPC	INTRASTAT	CatalogID	Auslieferungslager
Zubehör	Notebooks	Garantieerweiterungen	Fujitsu Technology Solutions	07702V2	FSP:GD3S60Z00CHPY3	SP 3YRVO SVC 4H AZ 5X9	F/ TX300 SERIES		MSD					901,00	783,00	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5769523-7410.jpg	8.7.10 00:00:00	 		0	0	0	1,00	999	0	0	N	25151705	32130000	49119900	10101408	CH
Zubehör	Server	Festplatten - SAS (Hot Plug)	Fujitsu Technology Solutions	07708U1	S26361-F4482-L114	HD SAS 6G 146GB 10K	HOT PLUG 2.5IN EP   (Ausschließlich für RX300 S6 12x2,5 Zoll HDD)		NMS					252,00	201,00	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5768531-7138.jpg	19.7.10 00:00:00	 		0	0	0	1,00	26	0	0	N	19030209	43201803	84717050	10102022	DE
Zubehör	Server	Festplatten - SAS (Hot Plug)	Fujitsu Technology Solutions	07708U2	S26361-F4482-L130	HD SAS 6G 300GB 10K 	HOT PLUG 2.5IN EP   (Ausschließlich für RX300 S6 12x2,5 Zoll HDD)		NMS					481,00	385,00	0,00			V	7	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5768532-6218.jpg	19.7.10 00:00:00	4049699361555		0,08	0,27	0,16	0,44	18	0	10	Y	19030209	43201803	84717050	10102022	DE
Zubehör	Server	Festplatten - SAS (Hot Plug)	Fujitsu Technology Solutions	07708U5	S26361-F4482-L514	HD SAS 6G 146GB 15K 	HOT PLUG 2.5IN EP   (Ausschließlich für RX300 S6 12x2,5 Zoll HDD)		NMS					434,00	339,00	0,00			V	1	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5768533-5231.jpg	19.7.10 00:00:00	4049699361562		0,08	0,27	0,17	0,46	13	0	6	Y	19030209	43201803	84717050	10102022	DE
Zubehör	Notebooks	Netzteile	Fujitsu Technology Solutions	0770987	T26139-Y2540-V113	Netzleitung (EU)	schwarz, 2-polig, 1.8 m - für Netzteile von AMILO Pro, ESPRIMO Mobile, LIFEBOOK, CELSIUS H, STYLISTIC		MSD	D			12	22,00	11,00	0,00			V	49	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/27526-61.jpg	25.2.02 00:00:00	4040528095122		0,04	0,23	0,23	0,09	25	0	0	Y	19039190	32130000	85044030	10101411	DE
Komponenten	Festplatten	USB	Fujitsu Technology Solutions	0770BV4	S26341-F103-L115	CELVIN DRIVE D100 500GB	 CELVIN® Drive D100 500 GB/ Externes Festplattenlaufwerk 3,5 Zoll/ Festplattenkapazität: 500 GB		NMS					114,00	89,65	0,00			V	11	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0770BV4.pdf	http://www.ingrammicro.de/jpg/0770BV4.jpg	3.8.10 00:00:00	4049699274022		0,11	0,26	0,15	1,08	999	0	0	Y	19030209	43201803		10020321	DE
Komponenten	Festplatten	USB	Fujitsu Technology Solutions	0770BV5	S26341-F103-L116	CELVIN DRIVE D100 1TB	  CELVIN® Drive D100 1000 GB/ Externes Festplattenlaufwerk 3,5 Zoll/ Festplattenkapazität: 1000 GB		NMS					0,00	84,00	0,00			V	4	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0770BV4.pdf	http://www.ingrammicro.de/jpg/0770BV4.jpg	3.8.10 00:00:00	4049699274077		0,12	0,25	0,15	1,28	999	0	0	Y	19030209	43201803		10020321	DE
Multimedia	Audio & Sound	Kopfhörer & PC Headsets	Fujitsu Technology Solutions	0770BW0	S26391-F7139-L4	HS P2000 VIBRA PLUS HEADSET	Perfekt für Spiele - der Vibrationskopfhörer HS P2000 Vibra! Das Headset ist ausgestattet mit der neuestenelektromagnetischen Vibrations-Surround-Technologie und ermöglicht es allen Spielern die Audio-Effekte und Musik-Bässe der Spiele zu fühlen.		MSD					0,00	40,48	0,00			N	0	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0770BW0.pdf	http://www.ingrammicro.de/jpg/0770BW0.jpg	3.8.10 00:00:00	4049699287947		0,05	0,2	0,16	0,22	999	0	0	Y	19020502	43191609		10030405	DE
Multimedia	TV & Video	Webcams	Fujitsu Technology Solutions	0770BW3	S26391-F7136-L5	WEBCAM 130 HD2	 Modernste HD (High Definition/720p) Aufnahme-Funktion/ Widescreen-video-Format (16:9 and 16:10)/ beste Bildqualität mit 1,3-Megapixel-CMOS-Sensor/ Direkt auf YouTube hochladen mit nur 1 Klick/ Smart-Clip für Notebook und LCD-Display		NMS					0,00	37,00	0,00			V	10	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0770BW3.pdf	http://www.ingrammicro.de/jpg/0770BW3.jpg	3.8.10 00:00:00	4049699339509		0,05	0,16	0,12	0,17	999	0	0	Y	19020503	45121520		10030107	DE
Zubehör	Notebooks	Netzwerk & Kommunikation	Fujitsu Technology Solutions	0770BW5	S26391-F6055-L500	USB MODEM	Das 56K Modem kann an einen PC oder an einem Notebook an den USB Anschluß angeschlossen werden. Durch die Unterstützung im Microsoft Betriebsystem sind die Funktionen wie Daten/Fax und Einwählung ins Internet möglich. Stromversorgung über USB Bus.		NMS					0,00	29,04	0,00			V	30	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0770BW5.pdf	http://www.ingrammicro.de/jpg/0770BW5.jpg	3.8.10 00:00:00	4049699321382		0,04	0,15	0,14	0,17	2	0	0	Y	19039190	32130000		10101412	DE
Zubehör	Notebooks	Laufwerke (extern)	Fujitsu Technology Solutions	0770BW9	S26341-F103-L120	EXTERNAL BLU-RAY WRITER	externer Blue Ray Brenner		NMS					0,00	221,87	0,00			B	0	30.1.11 01:10:36	10.2.11 00:00:00	 	http://www.ingrammicro.de/pdf/0770BW9.pdf	http://www.ingrammicro.de/jpg/0770BX2.jpg	3.8.10 00:00:00	4049699319464		0,07	0,24	0,2	0,64	2	0	0	Y	19039002	32130000		10101434	DE
