Artikelnummer;Bezeichnung;;;;Artikelkategorie;Produktgruppe;EAN Code;Bruttogewicht;Bestand;Hersteller;HerstellerNr;NextDeliveryDate;jET Link;jET DataSheet
24678;NAS Server Barbone Qnap TS-119PII Turbo NAS 2.0GHz,512MB RAM, GigaLan,eSATA, 3xUSB;;;;Karten,Wireless,Zubehör;NAS Server Barebones;4.71251E+12;1.86;0;QNAP;TS-119PII;;http://www.jet.ch/product_info.php?products_id=24678;
24679;Printer HP Color LaserJet Pro 400 M451NW 20S/Min s/w & farbig,600x600dpi,Ethernet;;;;Drucker und Zubehör;Laserdrucker;8.86112E+11;27.95;0;Hewlett Packard;CE956A#BAZ;;;
24680;Graphicscard for NB P170EM nVidia GeForce GTX675M 2GB GDDR5, PCIe x16, MXM3.0 Typ B, DirectX11;;;;Notebooks,PCMCIA Karten,...;NB Mainboards, Ersatzteile,...;;0.36;0;CLEVO;;;;
24681;Cable DVI Mcab 2.0 m black Stecker / 2 x DVI - D 24+1 / Dual Link;;;;Kabel, Stecker, Adapter,Batt..;Sonderartikel;4.01603E+12;0.241;0;Mcab;7000774;;;
24682;Graphicscard Matrox Dualhead 2 Go Digital Edition externes Multi-Monitor-Upgrade;;;;Grafikkarten;Grafikkartenzub., Cooler, Kabel;7.9075E+11;0.575;0;Matrox;D2G-A2D-IF;;;
24684;USB Memory SuperTalent Pico-C 32GB rugged&waterprf USB 2.0, 30MB/s (200x), retail,31.3x12.4x3.4mm,<6g;;;;SDRAM,DDRAM,USB-Sticks;USB Memory Sticks;8.78294E+11;0.025;0;SuperTalent;STU32GPCS;;http://www.jet.ch/product_info.php?products_id=24684;
24685;DVD-Brenner SAMSUNG SH-222BB/BEBE SATA BULK BL 22xDVD+-R,6xDVD-RW, 8xDVD+RW,12xDVD+RDL;;;;CD-Rom, DVDs, Brenner, Floppy;DVD Brenner;8.80607E+12;0.65;78;Samsung;SH-222BB/BEBE;;;
24686;Graphicscard ASUS nVidia GT520 1024MB Silent Passiv,GDDR3,128Bit,810MHz, DVI-I, HDMI,VGA,DX11.0;;;;Grafikkarten;NVidia Chipsatz PCI Express Karten;4.71666E+12;0.415;0;Asus;90-C1CQQF-J0UANABZ;11.05.2012;http://www.jet.ch/product_info.php?products_id=24686;
24687;DVD-Brenner Slim Samsung SN-208BB for NB, SATA Dual +/- RW 8x with black bezel, Double Layer;;;;CD-Rom, DVDs, Brenner, Floppy;DVD Brenner;8.80607E+12;0.158;0;LG Electronics;SN-208BB/BEBE;;http://www.jet.ch/product_info.php?products_id=24687;
24688;HDD Bracket IcyBox für Notebook erweitert Notebook um eine 2. HDD/ SSD;;;;Notebooks,PCMCIA Karten,...;NB Mainboards, Ersatzteile,...;;0.368;0;;IB-AC642;;;
24689;NAS Server Barbone Qnap TS-559Pro+ Turbo NAS,5Tray Atom Dual Core, 1GB RAM, 2xGiga LAN,2xeSATA,5xUSB;;;;Karten,Wireless,Zubehör;NAS Server Barebones;;7.411;0;QNAP;TS-559 PRO+;;;
24690;CPU Intel Pent. Dual Core E6600 3.06GHz 1066MHz FSB 1066, 2MB Cache, socket 775, Tray;;;;Prozessoren und Zubehör;Intel Prozessoren;;0.183;1;Intel;BX80571E6600 TRAY;;;
24691;"HDD Seagate Momentus M8 ST750LM022 750GB 2.5"" 5400 rpm, fluid dynamic bearing, 8 MB Cache, 9.5mm";;;;Festplatten;2.5 Zoll SATA HDDs;;0.111;0;Seagate;ST750LM022;;http://www.jet.ch/product_info.php?products_id=24691;
24692;NAS Server Barbone Qnap TS-659 Pro+ NAS NAS 6 bay, 1.8GHz Dual Atom D525, iSCSI, AES, USB3;;;;Karten,Wireless,Zubehör;NAS Server Barebones;4.71251E+12;9;0;QNAP;TS-659 PRO+;;;
24693;NAS Server Barbone Qnap TS-659 ProII NAS NAS 6 bay, 1.8GHz Dual Atom D525, iSCSI, AES, USB3;;;;Karten,Wireless,Zubehör;NAS Server Barebones;4.71251E+12;6.12;0;QNAP;TS-659 PRO II;07.05.2012;;
24694;"SSD Crucial 256GB 2.5"" m4-MLC, SATAIII 6GB/s, 7mm Read:500MB/s,Write:260MB/s, SATA 6Gb/s,CT256M4SSD1";;;;Festplatten;2.5 Zoll SATA HDDs;;0.125;0;Crucial;CT256M4SSD1;;;
24695;NAS Server Barbone Synology DiskStation DS212+ 2-Bay Giga NAS, ohne HDD;;;;Karten,Wireless,Zubehör;NAS Server Barebones;4.71117E+12;2.4;0;Synology;DS212+;;;
24696;MB ASRock Z68M-ITX/HT, GLAN, DVI-D, HDMI, D-SUB Sockel 1155, 2xDDR3, PCI-E x6, USB3, 2xS-ATA6Gb/s;;;;Mainboards;Intel Sockel 1155;4.71114E+12;0.89;0;Asrock;Z68M-ITX/HT;;;
24697;"Monitor Traverse parabolisch für 3 Monitore 27"" Länge 1660mm, 2 Säulen, Grundplatte 670x350x6,Alu";;;;CRT Monitore,TFTMonitore;Monitorzubehör, Ständer,...;;23;0;jET Schweiz IT AG;24697;;http://www.jet.ch/product_info.php?products_id=24697;
24698;"Monitor TFT  Philips BDL3215E 32"" LCD Speaker 1366x768, 3500:1,450 cd/mý, 8ms, HDMI, DVI-D,D-SUB";;;;CRT Monitore,TFTMonitore;TFT Monitore;8.71258E+12;16.6;0;Philips;BDL3215E/00;;;
24699;"Monitor TFT  Philips BDL4645E/00 46"" LCD Speaker 1920x1080,4000:1,400 cd/mý, 6.5ms,HDMI,DVI-D,D-SUB";;;;CRT Monitore,TFTMonitore;TFT Monitore;8.71258E+12;26;0;Philips;BDL4645E/00;;;
24700;"Case Mini MHero-L-B Fanless, ext. 84W Netzteil 1xPCI, 1x2.5"", 1xDVD Slim Schacht, 295x280x64mm";;;;Gehäuse, Netzteile und Zubehör;Micro ATX Tower;;2.84;2;jET Schweiz IT AG;MHERO-L-B;;;
24701;DVD-Brenner LG GH-24NS90-RBB BULK BLACK SATA 24xDVD+-R,6xDVD-RW, 8xDVD+RW,10xDVD+-RDL;;;;CD-Rom, DVDs, Brenner, Floppy;DVD Brenner;8.80899E+12;0.66;40;LG Electronics;GH24NS90.AUAA50B;;;
24702;USB Memory SuperTalent Pico-C 16GB rugged&waterprf USB 2.0, 30MB/s (200x), retail,31.3x12.4x3.4mm,<6g;;;;SDRAM,DDRAM,USB-Sticks;USB Memory Sticks;;0.025;2;SuperTalent;STU16GPCS;;http://www.jet.ch/product_info.php?products_id=24702;
24703;CPU Intel Core i5-3450 3.1GHz / 3.5GHz BOX, Ivy 4/4Cores,6MB Cache,Sockel 1155, HD2500 650/1100MHz;;;;Prozessoren und Zubehör;Intel Prozessoren;5.03204E+12;0.399;5;Intel;BX80637I53450;;;
24704;CPU Intel Core i5-3550 3.3GHz / 3.7GHz BOX, Ivy 4/4Cores,6MB Cache,Sockel 1155, HD2500 650/1100MHz;;;;Prozessoren und Zubehör;Intel Prozessoren;5.03204E+12;0.399;5;Intel;BX80637I53550;;;
24706;CPU Intel Core i7-3770 3.4GHz / 3.9GHz BOX, Ivy 4/8Cores,8MB Cache,Sockel 1155, HD4000 650/1150MHz;;;;Prozessoren und Zubehör;Intel Prozessoren;5.03204E+12;0.399;0;Intel;BX80637I73770;;;
24707;CPU Intel Core i7-3770K 3.5GHz / 3.9GHz BOX, Ivy 4/8Cores,8MB Cache,Sockel 1155, HD4000 650/1150MHz;;;;Prozessoren und Zubehör;Intel Prozessoren;5.03204E+12;0.399;0;Intel;BX80637I73770K;;;
24708;"Monitor TFT Samsung Syncmaster S22A200B 21.5"" LED 1920x1080, 5Miio.:1, 250 cd/mý, 5ms, DVI-D, D-SUB";;;;CRT Monitore,TFTMonitore;TFT Monitore;8.80607E+12;4.72;5;Samsung;S22A200BST/EN;;;
24709;Mini PC ASRock CoreHT 223D, Core i3-2330M, 4GB 500GB, DVD-RW, HD3000VGA, Giga LAN, WLAN;;;;PC-Systeme;Intel PC Systeme;;1.2;0;Asrock;COREHT 233D-4G50/B;;;
24710;"Mobile Rack for SATA/SAS HDD 3.5"", for 1 x HDD SATA / SATA compatible";;;;Gehäuse, Netzteile und Zubehör;Einbaurahmen, Blenden,...;4.04362E+12;0.417;0;jET Schweiz IT AG;47195;08.05.2012;http://www.jet.ch/product_info.php?products_id=24710;
24711;Tablet Durabook T7, Atom Z530P 1.6GHz, 2GB, 120GB Intel WLAN, Bluetooth, 2M Webcam, 2 x Akku;;;;PC-Systeme;Intel PC Systeme;;0;0;jET Schweiz IT AG;T7;;;
24712;Printer Brother Papierschacht LT300CL 500 Blatt;;;;Drucker und Zubehör;Laserdrucker;;8.16;1;Brother;LT300CL;;;
24713;Printer Brother Tonerkasette TN328BK Black 6'000 Seiten, für Brother Color MFC-9970CDW;;;;Drucker und Zubehör;Druckerkabel...;4.97777E+12;1.2;0;Brother;TN328BK;08.05.2012;;
24714;Printer Brother Tonerkasette TN328C Cyan 6'000 Seiten, für Brother Color MFC-9970CDW;;;;Drucker und Zubehör;Druckerkabel...;4.97777E+12;1.2;0;Brother;TN328C;08.05.2012;;
24715;Printer Brother Tonerkasette TN328M Magenta 6'000 Seiten, für Brother Color MFC-9970CDW;;;;Drucker und Zubehör;Druckerkabel...;4.97777E+12;1.2;0;Brother;TN328M;08.05.2012;;
24716;Printer Brother Tonerkasette TN328Y Yellow 6'000 Seiten, für Brother Color MFC-9970CDW;;;;Drucker und Zubehör;Druckerkabel...;4.97777E+12;1.2;0;Brother;TN328Y;08.05.2012;;
24717;Graphicscard PNY Quadro 2000 1024MB PCIE Retail GDDR5, 128Bit, 2560x1600, Open GL4.0, 2xDVI-I;;;;Grafikkarten;NVidia Chipsatz PCI Express Karten;3.5364E+12;0.434;0;PNY;VCQ2000DVI-PB;;;
24718;Graphicscard PNY GTX580 1536MB PCIe GTX 580, GDDR5, 384Bit, 772/2002MHz,2xDVI, HDMI;;;;Grafikkarten;NVidia Chipsatz PCI Express Karten;3.5364E+12;1.455;0;PNY;GMGTX58N2H15ZPB;;;
24719;MB ASUS Sabertooth x58, ATX, GLAN, RAID, EuP Ready Sockel 1366,QPI 6.4GT,6xDDR3,5x PCI-E;;;;Mainboards;Intel Sockel 1366;7.19543E+11;1.5;0;Asrock;90-MIBDK0-G0EAY00Z;;http://www.jet.ch/product_info.php?products_id=24719;
24720;Wireless Lancom Router 1781AW VPN-Router mit ADSL 4x 10/100 Switchport, inkl. Access Point, Firewall;;;;Karten,Wireless,Zubehör;Wireless Komponenten;;1.151;1;Lancom Systems;62014;;;
24721;Software Lancom Adv. VPN Clinet 1 Lic Supports AES 3-DES XAUTH;;;;Software;DVD Player, Value CDs, ...;;0.404;1;Lancom Systems;LS61600;;http://www.jet.ch/product_info.php?products_id=24721;
24722;Server Intel Board S1200KP ;;;;Server;Server Einzelteile(MBs, DriveBays,...);;1.72;2;Intel;S1200KP;;;
24723;IP - Stromleiste Gude 8011 EPC 2x6 12x Kaltgeräte Buchse;;;;Kabel, Stecker, Adapter,Batt..;Sonderartikel;;0.125;1;Rotronic;19.07.1219;;http://www.jet.ch/product_info.php?products_id=24723;
24725;Power Cord - Verlängerung Kaltgeräte Stecker;;;;Kabel, Stecker, Adapter,Batt..;Sonderartikel;;0.125;4;Rotronic;19.99.1515;;http://www.jet.ch/product_info.php?products_id=24725;
24726;Ethernet Switch Cisco Gigabit 8 Port schwarz, 14cm x 14cm x 3.3cm;;;;Karten,Wireless,Zubehör;Switches;8.82658E+11;1;0;Cisco;SG100D-08;;;
24727;DVD-Brenner SAMSUNG SH-222AL LIGHT SATA Bulk 22xDVD+-R,6xDVD-RW, 8xDVD+RW,12xDVD+RDL;;;;CD-Rom, DVDs, Brenner, Floppy;DVD Brenner;8.80607E+12;0.8;0;Samsung;SH-222AL/BEBE;11.05.2012;;
